genotype,sample,dpi,cytokine,avg_conc,log10_conc
WT,1,3,il23,2.77,0.442479769
WT,1,0,il23,2.45,0.389166084
KO,1,6,il23,1.59,0.201397124
KO,1,9,il23,1.59,0.201397124
KO,1,12,il23,1.59,0.201397124
WT,1,6,il23,1.59,0.201397124
WT,1,9,il23,1.59,0.201397124
WT,1,12,il27,9.445,0.975201962
KO,1,0,il27,5.29,0.723455672
KO,1,3,il27,5.29,0.723455672
KO,1,6,il27,5.29,0.723455672
KO,1,9,il27,5.29,0.723455672
KO,1,12,il27,5.29,0.723455672
WT,1,0,il27,5.29,0.723455672
WT,1,3,il27,5.29,0.723455672
WT,1,6,il27,5.29,0.723455672
WT,1,9,il27,5.29,0.723455672
KO,1,0,il3,1.485,0.171726454
KO,1,3,il3,1.485,0.171726454
KO,1,6,il3,1.485,0.171726454
KO,1,9,il3,1.485,0.171726454
KO,1,12,il3,1.485,0.171726454
WT,1,0,il3,1.485,0.171726454
WT,1,3,il3,1.485,0.171726454
WT,1,6,il3,1.485,0.171726454
WT,1,9,il3,1.485,0.171726454
WT,1,12,il3,1.485,0.171726454
WT,1,0,il33,20.29,1.307282047
KO,1,6,il33,7.59,0.880241776
KO,1,3,il33,6.24,0.79518459
KO,1,0,il33,1.695,0.229169703
KO,1,9,il33,1.695,0.229169703
KO,1,12,il33,1.695,0.229169703
WT,1,3,il33,1.695,0.229169703
WT,1,6,il33,1.695,0.229169703
WT,1,9,il33,1.695,0.229169703
WT,1,12,il33,1.695,0.229169703
KO,1,6,il4,1.68,0.225309282
WT,1,6,il4,1.18,0.071882007
KO,1,3,il4,0.98,-0.008773924
WT,1,0,il4,0.765,-0.116338565
WT,1,9,il4,0.58,-0.236572006
KO,1,0,il4,0.34,-0.468521083
KO,1,9,il4,0.34,-0.468521083
KO,1,12,il4,0.34,-0.468521083
WT,1,3,il4,0.34,-0.468521083
WT,1,12,il4,0.34,-0.468521083
KO,1,6,il5,13.85,1.141449773
WT,1,6,il5,12.525,1.097777735
KO,1,3,il5,6.63,0.821513528
WT,1,3,il5,3.51,0.545307116
KO,1,12,il5,2.68,0.428134794
WT,1,9,il5,1.625,0.210853365
KO,1,0,il5,0.97,-0.013228266
KO,1,9,il5,0.97,-0.013228266
WT,1,0,il5,0.97,-0.013228266
WT,1,12,il5,0.97,-0.013228266
WT,1,3,il6,572.17,2.757525083
KO,1,3,il6,509.85,2.707442424
WT,1,6,il6,471.725,2.673688893
KO,1,6,il6,404.32,2.606725225
KO,1,12,il6,90.725,1.957726977
KO,1,9,il6,71.2,1.852479994
WT,1,9,il6,32.485,1.511682871
WT,1,12,il6,19.9,1.298853076
KO,1,0,il6,0.755,-0.122053048
WT,1,0,il6,0.755,-0.122053048
WT,1,3,il7,4.815,0.682596291
KO,1,0,il7,3.495,0.54344718
WT,1,0,il7,2.1575,0.333950804
KO,1,3,il7,1.205,0.080987047
KO,1,6,il7,1.205,0.080987047
KO,1,9,il7,1.205,0.080987047
KO,1,12,il7,1.205,0.080987047
WT,1,6,il7,1.205,0.080987047
WT,1,9,il7,1.205,0.080987047
WT,1,12,il7,1.205,0.080987047
KO,1,6,ip10,261.56,2.417571329
WT,1,6,ip10,218.655,2.339759413
KO,1,9,ip10,193.995,2.287790537
WT,1,9,ip10,190.81,2.280601132
WT,1,3,ip10,186.605,2.270923276
KO,1,3,ip10,158.16,2.199096656
KO,1,12,ip10,86.355,1.936287489
WT,1,12,ip10,7.82,0.893206753
KO,1,0,ip10,1.14,0.056904851
WT,1,0,ip10,1.14,0.056904851
WT,1,3,kc,83.19,1.920071124
KO,1,3,kc,57.305,1.758192517
WT,1,6,kc,46.36,1.666143427
KO,1,6,kc,39.115,1.592343335
KO,1,12,kc,18.62,1.269979677
WT,1,12,kc,13.275,1.12303453
KO,1,9,kc,7.16,0.854913022
WT,1,9,kc,5.635,0.75089392
WT,1,0,kc,3.545,0.54961624
KO,1,0,kc,2.32,0.365487985
KO,1,9,lix,223.79,2.349840676
WT,1,9,lix,214.175,2.330768776
WT,1,6,lix,205.425,2.312653296
KO,1,12,lix,140.355,2.147227889
KO,1,6,lix,88.36,1.946255707
WT,1,12,lix,64.865,1.812010422
WT,1,0,lix,63.625,1.803627795
KO,1,3,lix,37.34,1.572174314
KO,1,0,lix,25.075,1.399240942
WT,1,3,lix,23.59,1.372727941
WT,1,6,mcp1,234.805,2.370707341
KO,1,9,mcp1,233.185,2.36770061
KO,1,12,mcp1,158.43,2.199837422
WT,1,9,mcp1,155.265,2.191073568
KO,1,6,mcp1,130.18,2.114544267
WT,1,3,mcp1,62.36,1.794906107
KO,1,3,mcp1,53.52,1.728516105
WT,1,12,mcp1,42.335,1.626699564
WT,1,0,mcp1,5.11,0.7084209
KO,1,0,mcp1,3.2,0.505149978
KO,1,3,mdc,41.075,1.613577572
WT,1,6,mdc,32.915,1.517393859
WT,1,3,mdc,26.55,1.424064525
KO,1,12,mdc,25.845,1.412376537
WT,1,12,mdc,17.13,1.233757363
WT,1,0,mdc,15.39,1.18723862
KO,1,6,mdc,10.99,1.040997692
KO,1,0,mdc,9.455,0.975661533
KO,1,9,mdc,7.97,0.901458321
WT,1,9,mdc,7.425,0.870696458
KO,1,9,mig,114.085,2.057228547
WT,1,9,mig,103.2,2.013679697
KO,1,3,mig,59.77,1.776483256
KO,1,12,mig,51.77,1.714078165
WT,1,3,mig,46.25,1.665111737
KO,1,6,mig,40.155,1.60373963
WT,1,6,mig,39.49,1.596487134
WT,1,12,mig,8.725,0.940765436
WT,1,0,mig,2.3725,0.375206221
KO,1,0,mig,1.8125,0.258278015
KO,1,3,mip1a,33.005,1.518579737
WT,1,6,mip1a,22.235,1.347037134
KO,1,9,mip1a,18.905,1.276576682
KO,1,6,mip1a,16.38,1.214313897
WT,1,9,mip1a,14.795,1.170114969
WT,1,3,mip1a,10.065,1.002813779
KO,1,12,mip1a,7.685,0.885643872
WT,1,12,mip1a,3,0.477121255
KO,1,0,mip1a,1.055,0.02325246
WT,1,0,mip1a,1.055,0.02325246
WT,1,6,mip1b,171.76,2.234922031
KO,1,9,mip1b,165.94,2.219951086
WT,1,9,mip1b,161.255,2.20751319
KO,1,6,mip1b,99.57,1.998128507
KO,1,12,mip1b,91.43,1.96108872
KO,1,3,mip1b,83.12,1.919705535
WT,1,3,mip1b,43.255,1.636036316
WT,1,12,mip1b,34.735,1.540767303
WT,1,0,mip1b,7.705,0.886772643
KO,1,0,mip1b,3.1975,0.504810553
WT,1,6,mip3a,107.34,2.030761591
KO,1,6,mip3a,62.25,1.794139356
KO,1,12,mip3a,48.06,1.681783766
WT,1,3,mip3a,44.255,1.645962345
WT,1,12,mip3a,39.055,1.591676642
KO,1,3,mip3a,34.19,1.533899101
KO,1,9,mip3a,27.12,1.433289685
WT,1,9,mip3a,22.645,1.354972325
WT,1,0,mip3a,7.425,0.870696458
KO,1,0,mip3a,4.315,0.6349808
KO,1,3,rantes,68.37,1.83486558
KO,1,6,rantes,66.515,1.822919595
WT,1,6,rantes,55.555,1.744723152
WT,1,3,rantes,42.465,1.628031128
KO,1,9,rantes,36,1.556302501
KO,1,12,rantes,26.25,1.419129308
WT,1,9,rantes,22.34,1.349083169
WT,1,12,rantes,20,1.301029996
WT,1,0,rantes,8.1,0.908485019
KO,1,0,rantes,2.5075,0.399240942
KO,1,12,tarc,37.975,1.579497783
WT,1,6,tarc,35.365,1.548573662
KO,1,3,tarc,24.69,1.39252109
WT,1,0,tarc,22.33,1.348888723
WT,1,12,tarc,20.04,1.301897717
WT,1,3,tarc,16.645,1.221283799
KO,1,6,tarc,14.32,1.155943018
KO,1,9,tarc,11.21,1.049605613
WT,1,9,tarc,11.035,1.042772337
KO,1,0,tarc,8.02,0.904174368
WT,1,6,tnfa,37.7,1.57634135
KO,1,9,tnfa,26.41,1.421768401
KO,1,6,tnfa,25.655,1.409172019
KO,1,3,tnfa,25.2,1.401400541
WT,1,3,tnfa,20.985,1.321908974
WT,1,9,tnfa,18.58,1.26904571
KO,1,12,tnfa,7.835,0.894039001
WT,1,12,tnfa,7.005,0.84540814
WT,1,0,tnfa,1.215,0.084576278
KO,1,0,tnfa,0.77,-0.113509275
KO,1,0,tslp,7.55,0.877946952
KO,1,3,tslp,7.55,0.877946952
KO,1,6,tslp,7.55,0.877946952
KO,1,9,tslp,7.55,0.877946952
KO,1,12,tslp,7.55,0.877946952
WT,1,0,tslp,7.55,0.877946952
WT,1,3,tslp,7.55,0.877946952
WT,1,6,tslp,7.55,0.877946952
WT,1,9,tslp,7.55,0.877946952
WT,1,12,tslp,7.55,0.877946952
KO,2,6,il9,NA,NA
KO,2,9,il9,NA,NA
WT,2,0,il9,NA,NA
WT,2,3,il9,NA,NA
WT,2,6,il9,NA,NA
WT,2,12,il9,154.9,2.190051418
WT,2,9,il9,70.215,1.8464299
KO,2,3,il9,59.14,1.77188132
KO,2,0,il9,36.06,1.557025722
WT,2,9,blc,1657.11,3.219351338
KO,2,9,blc,1269.035,3.1034736
WT,2,6,blc,406.165,2.608702497
KO,2,6,blc,171.685,2.234732353
WT,2,3,blc,73.855,1.868379902
WT,2,12,blc,17.545,1.244153373
WT,2,0,blc,8.115,0.909288524
KO,2,3,blc,5.985,0.777064155
KO,2,0,blc,3.675,0.565257343
WT,2,9,eotaxin,82.545,1.916690772
KO,2,9,eotaxin,62.92,1.798788714
WT,2,6,eotaxin,43.02,1.633670406
KO,2,6,eotaxin,23.435,1.369864958
WT,2,3,eotaxin,17.9,1.252853031
KO,2,3,eotaxin,9.4,0.973127854
WT,2,0,eotaxin,6.725,0.827692289
WT,2,12,eotaxin,4.055,0.607990859
KO,2,0,eotaxin,3.01,0.478566496
WT,2,3,gmcsf,33.455,1.524461034
WT,2,6,gmcsf,17.48,1.242541428
KO,2,0,gmcsf,10.4675,1.01984297
KO,2,6,gmcsf,10.2375,1.010193915
KO,2,3,gmcsf,6.455,0.809896247
KO,2,9,gmcsf,6.455,0.809896247
WT,2,0,gmcsf,6.455,0.809896247
WT,2,9,gmcsf,6.455,0.809896247
WT,2,12,gmcsf,6.455,0.809896247
WT,2,3,ifnb,150.915,2.178732408
WT,2,6,ifnb,56.01,1.748265573
KO,2,6,ifnb,43.82,1.641672373
KO,2,3,ifnb,12.495,1.09673626
KO,2,0,ifnb,4.75,0.67669361
KO,2,9,ifnb,4.75,0.67669361
WT,2,0,ifnb,4.75,0.67669361
WT,2,9,ifnb,4.75,0.67669361
WT,2,12,ifnb,4.75,0.67669361
KO,2,6,ifng,1695.17,3.229213258
KO,2,9,ifng,200.545,2.302211839
WT,2,6,ifng,140.235,2.146856419
