genotype,sample,dpi,cytokine,avg_conc,log10_conc
KO,4,12,rantes,57.05,1.756255649
KO,4,6,rantes,50.05,1.699404082
KO,4,9,rantes,33.945,1.530775813
WT,4,3,rantes,26.18,1.417969642
WT,4,9,rantes,22.12,1.344785123
WT,4,12,rantes,12.235,1.087603974
WT,4,6,tarc,99.41,1.997430074
KO,4,12,tarc,36.405,1.561161035
KO,4,6,tarc,31.015,1.491571786
WT,4,12,tarc,23.525,1.371529632
KO,4,3,tarc,22.25,1.347330015
WT,4,3,tarc,21.605,1.334554271
KO,4,9,tarc,15.44,1.188647296
WT,4,9,tarc,14.845,1.171580202
WT,4,9,tnfa,NA,NA
WT,4,6,tnfa,49.975,1.698752803
KO,4,3,tnfa,28.115,1.448938088
KO,4,9,tnfa,21.965,1.341731208
KO,4,6,tnfa,18.965,1.277952847
KO,4,12,tnfa,15.57,1.192288613
WT,4,3,tnfa,6.98,0.843855423
WT,4,12,tnfa,3.26,0.5132176
KO,4,3,tslp,7.55,0.877946952
KO,4,6,tslp,7.55,0.877946952
KO,4,9,tslp,7.55,0.877946952
KO,4,12,tslp,7.55,0.877946952
WT,4,3,tslp,7.55,0.877946952
WT,4,6,tslp,7.55,0.877946952
WT,4,9,tslp,7.55,0.877946952
WT,4,12,tslp,7.55,0.877946952
KO,5,3,il9,NA,NA
KO,5,9,il9,NA,NA
WT,5,6,il9,NA,NA
WT,5,9,il9,NA,NA
WT,5,3,il9,181.135,2.258002375
WT,5,12,il9,32.505,1.51195017
KO,5,6,il9,31.625,1.500030534
KO,5,12,il9,31.35,1.496237545
KO,5,9,blc,1499.515,3.175950814
WT,5,6,blc,1405.755,3.147909637
WT,5,9,blc,630.965,2.800005269
KO,5,6,blc,209.12,2.32039557
KO,5,12,blc,108.13,2.033946203
WT,5,12,blc,84.405,1.926368174
KO,5,3,blc,36.55,1.562887381
WT,5,3,blc,35.785,1.553701022
WT,5,6,eotaxin,73.29,1.865044722
KO,5,9,eotaxin,62.78,1.797821311
WT,5,9,eotaxin,44.45,1.647871765
KO,5,3,eotaxin,16.26,1.211120541
WT,5,12,eotaxin,13.09,1.116939647
WT,5,3,eotaxin,12.225,1.087248868
KO,5,6,eotaxin,11.275,1.052116551
KO,5,12,eotaxin,8.885,0.948657432
KO,5,3,gmcsf,23.63,1.373463722
WT,5,3,gmcsf,22.26,1.34752516
KO,5,6,gmcsf,18.64,1.270445908
KO,5,12,gmcsf,12.3175,1.090522571
KO,5,9,gmcsf,11.1625,1.047761472
WT,5,12,gmcsf,10.0025,1.00010856
WT,5,6,gmcsf,6.455,0.809896247
WT,5,9,gmcsf,6.455,0.809896247
KO,5,3,ifnb,189.95,2.278639298
WT,5,3,ifnb,114.75,2.059752694
WT,5,6,ifnb,82.745,1.91774176
KO,5,6,ifnb,70.155,1.846058629
KO,5,12,ifnb,13.895,1.142858551
KO,5,9,ifnb,4.75,0.67669361
WT,5,9,ifnb,4.75,0.67669361
WT,5,12,ifnb,4.75,0.67669361
WT,5,6,ifng,511.64,2.70896449
KO,5,3,ifng,219.855,2.342136347
KO,5,9,ifng,136.185,2.134129275
WT,5,3,ifng,93.92,1.972758084
WT,5,9,ifng,90.86,1.958372732
KO,5,6,ifng,36.28,1.559667278
WT,5,12,ifng,2.57,0.409933123
KO,5,12,ifng,2.455,0.390051496
WT,5,9,il10,30.905,1.490028748
KO,5,9,il10,12.11,1.083144143
WT,5,6,il10,8.31,0.919601024
KO,5,3,il10,4.29,0.632457292
KO,5,6,il10,0.86,-0.065501549
KO,5,12,il10,0.86,-0.065501549
WT,5,3,il10,0.86,-0.065501549
WT,5,12,il10,0.86,-0.065501549
KO,5,12,il11,8.9775,0.953155414
KO,5,9,il11,7.2175,0.858386793
WT,5,3,il11,6.9925,0.844632475
KO,5,3,il11,4.565,0.659440782
KO,5,6,il11,4.565,0.659440782
WT,5,6,il11,4.565,0.659440782
WT,5,9,il11,4.565,0.659440782
WT,5,12,il11,4.565,0.659440782
WT,5,6,il12p40,955.075,2.980037477
KO,5,6,il12p40,698.34,2.844066919
KO,5,12,il12p40,537.68,2.730523882
KO,5,3,il12p40,517.895,2.714241718
WT,5,3,il12p40,469.28,2.671432046
WT,5,12,il12p40,342.155,2.534222891
KO,5,9,il12p40,227.26,2.356523002
WT,5,9,il12p40,111.05,2.045518563
KO,5,3,il12p70,2.21,0.344392274
KO,5,6,il12p70,2.21,0.344392274
KO,5,9,il12p70,2.21,0.344392274
KO,5,12,il12p70,2.21,0.344392274
WT,5,3,il12p70,2.21,0.344392274
WT,5,6,il12p70,2.21,0.344392274
WT,5,9,il12p70,2.21,0.344392274
WT,5,12,il12p70,2.21,0.344392274
WT,5,9,il13,2.67,0.426511261
KO,5,3,il13,2.0575,0.313339844
WT,5,6,il13,1.6975,0.229809783
KO,5,12,il13,1.2375,0.092545208
KO,5,6,il13,0.765,-0.116338565
KO,5,9,il13,0.765,-0.116338565
WT,5,3,il13,0.765,-0.116338565
WT,5,12,il13,0.765,-0.116338565
KO,5,6,il17a,7.56,0.878521796
KO,5,3,il17a,2.27,0.356025857
WT,5,9,il17a,2.225,0.347330015
WT,5,3,il17a,2.06,0.31386722
WT,5,6,il17a,1.89,0.276461804
KO,5,12,il17a,1,0
KO,5,9,il17a,0.825,-0.083546051
WT,5,12,il17a,0.71,-0.148741651
WT,5,9,il17f,1.9275,0.284994387
KO,5,6,il17f,1.305,0.115610512
KO,5,12,il17f,0.6775,-0.1690907
KO,5,3,il17f,0.445,-0.351639989
KO,5,9,il17f,0.445,-0.351639989
WT,5,3,il17f,0.445,-0.351639989
WT,5,6,il17f,0.445,-0.351639989
WT,5,12,il17f,0.445,-0.351639989
KO,5,3,il1a,48.01,1.681331706
WT,5,3,il1a,29.11,1.464042205
WT,5,6,il1a,24.77,1.393926007
KO,5,6,il1a,21.39,1.330210785
KO,5,9,il1a,7.985,0.90227492
KO,5,12,il1a,2.685,0.42894429
WT,5,9,il1a,2.685,0.42894429
WT,5,12,il1a,2.685,0.42894429
KO,5,3,il1b,9.385,0.972434277
KO,5,6,il1b,9.385,0.972434277
KO,5,9,il1b,9.385,0.972434277
KO,5,12,il1b,9.385,0.972434277
WT,5,3,il1b,9.385,0.972434277
WT,5,6,il1b,9.385,0.972434277
WT,5,9,il1b,9.385,0.972434277
WT,5,12,il1b,9.385,0.972434277
KO,5,6,il2,0.945,-0.024568191
WT,5,9,il2,0.805,-0.09420412
KO,5,3,il2,0.56,-0.251811973
KO,5,9,il2,0.31,-0.508638306
KO,5,12,il2,0.31,-0.508638306
WT,5,3,il2,0.31,-0.508638306
WT,5,6,il2,0.31,-0.508638306
WT,5,12,il2,0.31,-0.508638306
WT,5,9,il21,2.4975,0.397505497
KO,5,3,il21,1.205,0.080987047
KO,5,6,il21,1.205,0.080987047
KO,5,9,il21,1.205,0.080987047
KO,5,12,il21,1.205,0.080987047
WT,5,3,il21,1.205,0.080987047
WT,5,6,il21,1.205,0.080987047
WT,5,12,il21,1.205,0.080987047
WT,5,9,il22,9.875,0.994537104
KO,5,3,il22,6.015,0.779235632
WT,5,3,il22,3.27,0.514547753
KO,5,6,il22,2.575,0.410777233
WT,5,12,il22,2.23,0.348304863
WT,5,6,il22,2.01,0.303196057
KO,5,12,il22,1.73,0.238046103
KO,5,9,il22,0.935,-0.029188389
WT,5,3,il23,6.375,0.804480189
KO,5,3,il23,4.445,0.647871765
KO,5,12,il23,3.62,0.558708571
KO,5,6,il23,1.59,0.201397124
KO,5,9,il23,1.59,0.201397124
WT,5,6,il23,1.59,0.201397124
WT,5,9,il23,1.59,0.201397124
WT,5,12,il23,1.59,0.201397124
WT,5,9,il27,195.555,2.291268925
WT,5,12,il27,23.93,1.378942699
KO,5,3,il27,13.605,1.133698546
WT,5,3,il27,9.04,0.95616843
KO,5,12,il27,8.24,0.915927212
KO,5,6,il27,5.29,0.723455672
KO,5,9,il27,5.29,0.723455672
WT,5,6,il27,5.29,0.723455672
KO,5,3,il3,1.485,0.171726454
KO,5,6,il3,1.485,0.171726454
KO,5,9,il3,1.485,0.171726454
KO,5,12,il3,1.485,0.171726454
WT,5,3,il3,1.485,0.171726454
WT,5,6,il3,1.485,0.171726454
WT,5,9,il3,1.485,0.171726454
WT,5,12,il3,1.485,0.171726454
WT,5,3,il33,4.2175,0.625055091
WT,5,12,il33,3.0425,0.483230587
WT,5,6,il33,2.9725,0.473121863
KO,5,3,il33,1.695,0.229169703
KO,5,6,il33,1.695,0.229169703
KO,5,9,il33,1.695,0.229169703
KO,5,12,il33,1.695,0.229169703
WT,5,9,il33,1.695,0.229169703
KO,5,6,il4,3.59,0.555094449
KO,5,3,il4,1.735,0.239299479
WT,5,6,il4,1.525,0.183269844
WT,5,9,il4,0.69,-0.161150909
WT,5,3,il4,0.655,-0.1837587
KO,5,12,il4,0.6,-0.22184875
KO,5,9,il4,0.34,-0.468521083
WT,5,12,il4,0.34,-0.468521083
WT,5,6,il5,19.895,1.298743943
KO,5,6,il5,14.99,1.175801633
KO,5,3,il5,11.29,1.052693942
WT,5,3,il5,7.25,0.860338007
KO,5,9,il5,2.96,0.471291711
WT,5,12,il5,2.82,0.450249108
KO,5,12,il5,0.97,-0.013228266
WT,5,9,il5,0.97,-0.013228266
WT,5,6,il6,620.525,2.792759283
KO,5,6,il6,419.775,2.62301657
KO,5,3,il6,402.78,2.605067898
WT,5,3,il6,262.215,2.418657532
KO,5,9,il6,50.86,1.706376356
WT,5,9,il6,32.47,1.511482289
WT,5,12,il6,17.79,1.250175948
KO,5,12,il6,8.83,0.945960704
WT,5,3,il7,3.895,0.590507462
KO,5,3,il7,1.205,0.080987047
KO,5,6,il7,1.205,0.080987047
KO,5,9,il7,1.205,0.080987047
KO,5,12,il7,1.205,0.080987047
WT,5,6,il7,1.205,0.080987047
WT,5,9,il7,1.205,0.080987047
WT,5,12,il7,1.205,0.080987047
WT,5,6,ip10,351.725,2.546203238
KO,5,3,ip10,198.775,2.298361762
KO,5,9,ip10,151.145,2.179393785
KO,5,6,ip10,138.175,2.140429473
WT,5,3,ip10,126.445,2.101901661
WT,5,9,ip10,123.155,2.090452049
WT,5,12,ip10,3.765,0.575764981
KO,5,12,ip10,3.05,0.484299839
WT,5,6,kc,44.83,1.651568739
KO,5,6,kc,43.04,1.633872263
KO,5,3,kc,38.39,1.584218112
WT,5,12,kc,11.975,1.078275522
KO,5,12,kc,10.57,1.024074987
WT,5,3,kc,7.39,0.868644438
KO,5,9,kc,6.24,0.79518459
WT,5,9,kc,3.54,0.549003262
WT,5,6,lix,260.555,2.415899412
KO,5,9,lix,250.305,2.398469525
WT,5,9,lix,161.94,2.209354135
KO,5,6,lix,85.52,1.932067692
KO,5,12,lix,72.73,1.861713588
WT,5,12,lix,36.745,1.565198252
KO,5,3,lix,32.43,1.510946949
WT,5,3,lix,30.67,1.486713776
WT,5,6,mcp1,180.285,2.255959594
KO,5,6,mcp1,129.975,2.113859826
KO,5,9,mcp1,123.465,2.091543861
KO,5,3,mcp1,67.55,1.829625353
WT,5,9,mcp1,65.33,1.815112658
WT,5,3,mcp1,39.705,1.5988452
WT,5,12,mcp1,15.3,1.184691431
KO,5,12,mcp1,10.54,1.022840611
KO,5,6,mdc,37.4,1.572871602
KO,5,3,mdc,32.84,1.516403148
WT,5,6,mdc,31.25,1.494850022
WT,5,3,mdc,23.35,1.368286885
WT,5,12,mdc,18.395,1.264699792
KO,5,12,mdc,18.08,1.257198426
KO,5,9,mdc,14.43,1.159266331
WT,5,9,mdc,7.955,0.900640184
KO,5,9,mig,91.745,1.962582405
WT,5,6,mig,71.75,1.855821905
WT,5,9,mig,67.56,1.829689641
KO,5,3,mig,44.05,1.643945913
WT,5,3,mig,25.71,1.410102077
KO,5,6,mig,24.735,1.393311915
WT,5,12,mig,19.93,1.299507299
KO,5,12,mig,10.415,1.017659274
WT,5,6,mip1a,26.87,1.429267666
KO,5,9,mip1a,19.33,1.286231854
KO,5,6,mip1a,16.63,1.220892249
KO,5,3,mip1a,12,1.079181246
WT,5,9,mip1a,11.67,1.067070856
WT,5,3,mip1a,6.595,0.8192148
KO,5,12,mip1a,3.095,0.490660653
WT,5,12,mip1a,2.275,0.356981401
WT,5,6,mip1b,222.035,2.346421439
KO,5,9,mip1b,190.4,2.279666944
WT,5,9,mip1b,121.63,2.085040707
KO,5,6,mip1b,88.995,1.949365607
KO,5,3,mip1b,58.27,1.765445018
WT,5,3,mip1b,32.02,1.505421328
KO,5,12,mip1b,24.255,1.384801279
WT,5,12,mip1b,13.29,1.123524981
WT,5,6,mip3a,71.485,1.854214922
KO,5,3,mip3a,63.83,1.805024844
KO,5,6,mip3a,47.47,1.676419232
KO,5,12,mip3a,43.515,1.638638988
WT,5,3,mip3a,42.8,1.631443769
WT,5,9,mip3a,38.82,1.589055531
WT,5,12,mip3a,27.18,1.434249452
KO,5,9,mip3a,24.425,1.387834572
WT,5,6,rantes,56.595,1.752778064
KO,5,6,rantes,48.965,1.689885759
KO,5,3,rantes,45.08,1.653983907
WT,5,3,rantes,40.915,1.611882556
KO,5,9,rantes,35.38,1.548757829
WT,5,9,rantes,20.12,1.303627976
KO,5,12,rantes,12.505,1.097083696
WT,5,12,rantes,8.075,0.907142531
KO,5,6,tarc,87.71,1.943049111
WT,5,12,tarc,44.9,1.652246341
WT,5,6,tarc,33.085,1.519631139
KO,5,12,tarc,23.52,1.371437317
KO,5,3,tarc,15.105,1.17912073
KO,5,9,tarc,13.965,1.14504094
WT,5,9,tarc,12.91,1.110926242
WT,5,3,tarc,10.22,1.009450896
WT,5,6,tnfa,31.93,1.504198919
WT,5,9,tnfa,25.465,1.405943681
KO,5,9,tnfa,25.355,1.404063615
KO,5,3,tnfa,24.435,1.388012343
KO,5,6,tnfa,18.395,1.264699792
WT,5,3,tnfa,17.45,1.241795431
KO,5,12,tnfa,3.445,0.537189226
WT,5,12,tnfa,2.865,0.457124626
WT,5,12,tslp,20.85,1.319106059
KO,5,12,tslp,11.45,1.058805487
KO,5,3,tslp,7.55,0.877946952
KO,5,6,tslp,7.55,0.877946952
KO,5,9,tslp,7.55,0.877946952
WT,5,3,tslp,7.55,0.877946952
WT,5,6,tslp,7.55,0.877946952
WT,5,9,tslp,7.55,0.877946952
